language,split,id,utt,annot_utt,scenario
Vietnamese,test,103,cho tôi biết thời tiết tuần này,cho tôi biết thời tiết [date : tuần này],weather
Vietnamese,test,122,chọc tôi cười đi,chọc tôi cười đi,general
Vietnamese,test,124,kể truyện cười cho tôi,kể truyện cười cho tôi,general
Vietnamese,test,128,ngày mấy tháng mấy,ngày mấy tháng mấy,datetime
Vietnamese,test,132,đặt món mang đi,đặt món [order_type : mang đi],takeaway
Vietnamese,test,150,tôi thích bài hát này,tôi thích bài hát này,music
Vietnamese,test,151,phát nó lại,phát nó lại,play
Vietnamese,test,158,hạ các đèn xuống,hạ các đèn xuống,iot
Vietnamese,test,168,họ có bán mang đi không,họ có [order_type : bán mang đi] không,takeaway
Vietnamese,test,169,họ có thể giao hàng hay không,họ có thể [order_type : giao hàng] hay không,takeaway
Vietnamese,test,170,họ có giao hàng tận nhà hay không,họ có [order_type : giao hàng] tận nhà hay không,takeaway
Vietnamese,test,171,olly họ có giao hàng tại nhà hay không,olly họ có [order_type : giao hàng] tại nhà hay không,takeaway
Vietnamese,test,174,cài đặt báo thức vào bảy giờ sáng thứ năm,cài đặt báo thức vào [time : bảy giờ sáng] [date : thứ năm],alarm
Vietnamese,test,177,cho tôi một chút tin tức doanh nghiệp,cho tôi một chút tin tức [news_topic : doanh nghiệp],news
Vietnamese,test,178,cho tôi biết tin tức thế giới,cho tôi biết tin tức [place_name : thế giới],news
Vietnamese,test,182,phát danh sách nhạc rock của tôi,phát danh sách nhạc [music_genre : rock] của tôi,play
Vietnamese,test,185,bật danh sách phát của tôi và phát bài hát thứ ba trong hàng chờ,bật danh sách phát của tôi và phát bài hát thứ ba trong hàng chờ,play
Vietnamese,test,189,tắt tiếng âm lượng,tắt tiếng âm lượng,audio
Vietnamese,test,197,mấy giờ rồi,mấy giờ rồi,datetime
Vietnamese,test,201,xóa báo thức tôi vừa cài đặt,xóa báo thức tôi vừa cài đặt,alarm
Vietnamese,test,216,thời tiết hôm nay như thế nào,thời tiết [date : hôm nay] như thế nào,weather
Vietnamese,test,219,ngày mai tôi có nên mang theo dù,[date : ngày mai] tôi có nên mang theo [weather_descriptor : dù],weather
Vietnamese,test,220,phát nhạc từ danh sách nhạc rock của tôi,phát nhạc từ [playlist_name : danh sách nhạc rock] của tôi,play
Vietnamese,test,250,tôi cảm thấy thích jazz bây giờ bạn thì sao,tôi cảm thấy thích [music_genre : jazz] bây giờ bạn thì sao,play
Vietnamese,test,254,olly phát một bài hay nghe từ jazz player yêu thich của tôi,olly phát một bài hay nghe từ [music_genre : jazz] player yêu thich của tôi,play
Vietnamese,test,258,tôi không nghe thấy bạn nói gì,tôi không nghe thấy bạn nói gì,audio
Vietnamese,test,261,tôi không nghe thấy bạn,tôi không nghe thấy bạn,audio
Vietnamese,test,263,hãy bật đèn àu xanh dương,hãy bật đèn àu [color_type : xanh dương],iot
Vietnamese,test,279,dự báo thời tiếc của hôm nay tại berlin,dự báo thời tiếc [date : của hôm nay] tại [place_name : berlin],weather
Vietnamese,test,281,tỷ giá quy đổi của đồng đô la mỹ và đồng bảng anh là bao nhiêu,[news_topic : tỷ giá quy đổi của đồng đô la mỹ và đồng bảng anh] là bao nhiêu,news
Vietnamese,test,286,làm sáng lên các bóng đèn trong nhà bếp,làm sáng lên các bóng đèn trong [house_place : nhà bếp],iot
Vietnamese,test,290,bật máy hút bụi,bật [device_type : máy hút bụi],iot
Vietnamese,test,292,bật máy hút bụi,bật [device_type : máy hút bụi],iot
Vietnamese,test,296,phát danh sách nhạc tết,phát danh sách nhạc tết,play
Vietnamese,test,297,xáo ngẫu nhiên các bài hát của hồ ngọc hà,[player_setting : xáo ngẫu nhiên] các bài hát của [artist_name : hồ ngọc hà],play
Vietnamese,test,299,thời tiết thế nào,thời tiết thế nào,weather
Vietnamese,test,310,ngày lễ năm mới năm nay là ngày nào,ngày lễ năm mới [date : năm nay] là ngày nào,datetime
Vietnamese,test,315,vui lòng yên lặng thêm một giờ nữa,vui lòng yên lặng [time : thêm một giờ] nữa,audio
Vietnamese,test,317,không nói hôm nay,không nói [date : hôm nay],audio
Vietnamese,test,319,nói cho tôi thời tiết hai ngày kể từ bây giờ ở barcelona,nói cho tôi thời tiết [time : hai ngày kể từ bây giờ] ở [place_name : barcelona],weather
Vietnamese,test,321,tắt máy hút bụi,tắt [device_type : máy hút bụi],iot
Vietnamese,test,322,kích hoạt ổ cắm của tôi,kích hoạt [device_type : ổ cắm] của tôi,iot
Vietnamese,test,329,bảy năm,[song_name : bảy năm],play
Vietnamese,test,333,tình trạng thời tiết như thế nào ở hà nội,tình trạng thời tiết như thế nào ở [place_name : hà nội],weather
Vietnamese,test,334,tôi muốn biết thời tiết ở dĩ an,tôi muốn biết thời tiết ở [place_name : dĩ an],weather
Vietnamese,test,344,trời sẽ có mưa vào ngày mai phải không,trời sẽ [weather_descriptor : có mưa] vào [date : ngày mai] phải không,weather
Vietnamese,test,348,ngày mai có mưa không,[date : ngày mai] có [weather_descriptor : mưa] không,weather
Vietnamese,test,355,ngày nào trong tuần là ngày một tháng tư,ngày nào trong tuần là [date : ngày một tháng tư],datetime
Vietnamese,test,360,hiện là mấy giờ,hiện là mấy giờ,datetime
Vietnamese,test,362,phát bài hát thứ hai từ bài hát của mỹ tâm,phát bài hát thứ hai từ bài hát của [artist_name : mỹ tâm],play
Vietnamese,test,366,vui lòng nói cho tôi tin tức mới nhất,vui lòng nói cho tôi tin tức mới nhất,news
Vietnamese,test,369,tắt đèn,tắt đèn,iot
Vietnamese,test,379,tôi muốn lưu nhạc bạn có thể làm điều đó cho tôi không,tôi muốn lưu nhạc bạn có thể làm điều đó cho tôi không,music
Vietnamese,test,385,có tin tức gì giật gân trong kênh mười bốn không,có tin tức gì giật gân trong [media_type : kênh mười bốn] không,news
Vietnamese,test,389,bật ổ cắm thông minh,bật [device_type : ổ cắm thông minh],iot
Vietnamese,test,391,bật một bài hát ngẫu nhiên từ danh sách phát của tôi,bật một bài hát ngẫu nhiên từ danh sách phát của tôi,play
Vietnamese,test,393,chơi một bài hát retro trong danh sách phát của tôi,chơi một bài hát [music_genre : retro] trong danh sách phát của tôi,play
Vietnamese,test,397,phát bất kỳ bài hát của mỹ tâm,phát bất kỳ bài hát của [artist_name : mỹ tâm],play
Vietnamese,test,399,xóa báo thức đầu tiên,xóa báo thức đầu tiên,alarm
Vietnamese,test,400,bắt đầu phát,bắt đầu phát,play
Vietnamese,test,407,bạn có thể phát nhạc rock trong suốt một giờ kế tiếp không,bạn có thể phát nhạc [music_genre : rock] trong suốt [time : một giờ kế tiếp] không,play
Vietnamese,test,411,bạn có thể kể cho tôi một câu truyện cười không,bạn có thể kể cho tôi một câu truyện cười không,general
Vietnamese,test,412,hãy kể cho tôi một chuyện hài hước,hãy kể cho tôi một chuyện [joke_type : hài hước],general
Vietnamese,test,424,có gì ở những tin tức nóng hổi,có gì ở những tin tức nóng hổi,news
Vietnamese,test,426,cấp nguồn cho ổ cắm một,cấp nguồn cho [device_type : ổ cắm một],iot
Vietnamese,test,427,tắt các bóng đèn trong phòng tắm,tắt các bóng đèn trong [house_place : phòng tắm],iot
Vietnamese,test,428,tắt các bóng đèn ở phòng tắm,tắt các bóng đèn ở [house_place : phòng tắm],iot
Vietnamese,test,430,thời tiết ngay lúc bây giờ như thế nào,thời tiết ngay lúc bây giờ như thế nào,weather
Vietnamese,test,437,mở thư mục bông hồng thủy tinh,mở thư mục [artist_name : bông hồng thủy tinh],play
Vietnamese,test,441,những tiêu đề tin tức mới nhất là gì,những tiêu đề tin tức mới nhất là gì,news
Vietnamese,test,442,những gì đang xảy ra trong tin tức,những gì đang xảy ra trong tin tức,news
Vietnamese,test,443,tăng âm lượng,tăng âm lượng,audio
Vietnamese,test,448,mở máy làm cà phê,mở [device_type : máy làm cà phê],iot
Vietnamese,test,451,cho tôi giá cổ phiếu mới nhất của ngân hàng quân đội,cho tôi [news_topic : giá cổ phiếu] mới nhất [news_topic : của ngân hàng quân đội],news
Vietnamese,test,456,đổi đèn phòng ngủ thành màu xanh lá,đổi đèn [house_place : phòng ngủ] thành [color_type : màu xanh lá],iot
Vietnamese,test,468,thay đổi ánh sáng cho mờ,thay đổi ánh sáng cho mờ,iot
Vietnamese,test,473,mở gửi người yêu cũ,mở [song_name : gửi người yêu cũ],play
Vietnamese,test,475,bạn hay mắc lỗi gì,bạn hay mắc lỗi gì,general
Vietnamese,test,484,ca sĩ nào hát bài này,ca sĩ nào hát bài này,music
Vietnamese,test,486,bây giờ ở hà nội mấy giờ,bây giờ ở [place_name : hà nội] mấy giờ,datetime
Vietnamese,test,491,ngoài trời lạnh không,ngoài trời [weather_descriptor : lạnh] không,weather
Vietnamese,test,494,truyện cười nào hay,truyện cười nào [joke_type : hay],general
Vietnamese,test,506,mở các bài hát của mỹ tâm,mở các bài hát của [artist_name : mỹ tâm],play
Vietnamese,test,508,báo thức nào được đặt,báo thức nào được đặt,alarm
Vietnamese,test,512,bởi mỹ tâm,bởi mỹ tâm,weather
Vietnamese,test,525,chuẩn bị đơn hàng sớm nhất có thể,chuẩn bị đơn hàng sớm nhất có thể,takeaway
Vietnamese,test,527,bạn có biết bất kỳ truyện cười nào không,bạn có biết bất kỳ truyện cười nào không,general
Vietnamese,test,533,đặt báo thức lúc chín giờ sáng,đặt báo thức lúc [time : chín giờ sáng],alarm
Vietnamese,test,540,phát bản nhạc được hát của katty perry,phát bản nhạc được hát của [artist_name : katty perry],play
Vietnamese,test,555,phát mỹ tâm người hãy quên em đi,phát [artist_name : mỹ tâm] người hãy quên em đi,play
Vietnamese,test,560,tắt báo thức lúc tám giờ sáng,tắt báo thức lúc [time : tám giờ sáng],alarm
Vietnamese,test,564,đổi màu đèn,đổi màu đèn,iot
Vietnamese,test,576,phát tất cả trong danh sách phát,phát tất cả trong danh sách phát,play
Vietnamese,test,585,cho tôi xem những tin tức mới nhất,cho tôi xem những tin tức mới nhất,news
Vietnamese,test,588,tin tức mới nhất hôm nay,tin tức mới nhất [date : hôm nay],news
Vietnamese,test,590,thời tiết hiện tại ra sao,thời tiết hiện tại ra sao,weather
Vietnamese,test,608,bật lại tiếng sau đó,bật lại tiếng sau đó,audio
Vietnamese,test,612,làm ơn đổ chuông báo thức dậy lúc tám giờ sáng thứ bảy tới,làm ơn đổ chuông báo [alarm_type : thức dậy] lúc [time : tám giờ sáng] [date : thứ bảy] tới,alarm
Vietnamese,test,614,bắt đầu danh sách phát,bắt đầu danh sách phát,play
Vietnamese,test,625,làm ơn phát radio bài hát mỹ tâm,làm ơn phát radio bài hát [artist_name : mỹ tâm],play
Vietnamese,test,631,đặt thông báo cho tin tức về lũ miền trung,đặt thông báo cho tin tức về [news_topic : lũ miền trung],news
Vietnamese,test,635,vui lòng bật máy hút bụi,vui lòng bật [device_type : máy hút bụi],iot
Vietnamese,test,651,tắt đèn phòng,tắt đèn [house_place : phòng],iot
Vietnamese,test,660,thời gian hiện tại ở nhật bản,thời gian hiện tại ở [place_name : nhật bản],datetime
Vietnamese,test,665,bạn có thể giảm bớt các đèn xuống không,bạn có thể giảm bớt các đèn xuống không,iot
Vietnamese,test,668,tôi muốn hai cái bơ gơ và một coca cola đặt nó nhanh,tôi muốn hai cái [food_type : bơ gơ] và một [food_type : coca cola] đặt nó nhanh,takeaway
Vietnamese,test,680,thông báo cho tôi về giá bitcoin,thông báo cho tôi về [news_topic : giá bitcoin],news
Vietnamese,test,686,thời gian hiện tại ở new york là mấy giờ,thời gian hiện tại ở [place_name : new york] là mấy giờ,datetime
Vietnamese,test,702,bạn có thể giảm các đèn xuống không,bạn có thể giảm các đèn xuống không,iot
Vietnamese,test,712,tôi muốn nghe tin tức mới nhất ở kênh v. t. v. một,tôi muốn nghe tin tức mới nhất ở [media_type : kênh v. t. v. một],news
Vietnamese,test,726,tóm tắt chi tiết thời tiết trong tuần,tóm tắt chi tiết thời tiết [time : trong tuần],weather
Vietnamese,test,730,tắt các đèn,tắt các đèn,iot
Vietnamese,test,738,hôm nay bên ngoài trời lạnh thế nào,[date : hôm nay] bên ngoài [weather_descriptor : trời lạnh] thế nào,weather
Vietnamese,test,751,đừng nói cho đến khi tôi yêu cầu,đừng nói cho đến khi tôi yêu cầu,audio
Vietnamese,test,761,tôi muốn biết thông tin về bài hát này,tôi muốn biết thông tin về bài hát này,music
Vietnamese,test,764,dự báo cho tuần này như thế nào,dự báo cho [date : tuần này] như thế nào,weather
Vietnamese,test,765,bạn có thể vui lòng cung cấp cho tôi những tin tức từ các nguồn mới nhất,bạn có thể vui lòng cung cấp cho tôi những tin tức từ [media_type : các nguồn mới nhất],news
Vietnamese,test,767,bạn vui lòng tìm cho tôi tin tức mới nhất từ ​​một nguồn tin mà tôi không thường đến,bạn vui lòng tìm cho tôi tin tức mới nhất từ ​​một nguồn tin mà tôi không thường đến,news
Vietnamese,test,768,cho tôi xem những tin tức chính trị mới nhất,cho tôi xem những tin tức [news_topic : chính trị] mới nhất,news
Vietnamese,test,779,tôi muốn nghe snow của red hot chili peppers,tôi muốn nghe [song_name : snow] của [artist_name : red hot chili peppers],play
Vietnamese,test,781,phát bài bình yên,phát bài [song_name : bình yên],play
Vietnamese,test,782,bật bài bước qua nhau hát bởi vũ,bật bài [song_name : bước qua nhau] hát bởi [artist_name : vũ],play
Vietnamese,test,783,phát người hãy quên em đi,phát [song_name : người hãy quên em đi],play
Vietnamese,test,790,thời tiết u ám hay ôn hoà,thời tiết [weather_descriptor : u ám] hay [weather_descriptor : ôn hoà],weather
Vietnamese,test,796,xác nhận cài đặt báo thức của tôi,xác nhận cài đặt báo thức của tôi,alarm
Vietnamese,test,804,hey siri tắt tiếng loa,hey siri tắt tiếng loa,audio
Vietnamese,test,826,nhiệt độ hiện tại bên ngoài là bao nhiêu,[weather_descriptor : nhiệt độ] hiện tại bên ngoài là bao nhiêu,weather
Vietnamese,test,827,bật danh sách phát nhạc mỹ tâm,bật danh sách phát nhạc [artist_name : mỹ tâm],play
Vietnamese,test,832,hey thời tiết đã được dự báo của ngày mai sẽ như thế nào,hey thời tiết đã được dự báo của [date : ngày mai] sẽ như thế nào,weather
Vietnamese,test,837,là những gì b. b. c. poll dự đoán cho cuộc bầu cử ở mỹ sắp tới,là những gì [media_type : b. b. c. poll] dự đoán cho [news_topic : cuộc bầu cử ở mỹ sắp tới],news
Vietnamese,test,843,khởi động robot hút bụi,khởi động [device_type : robot hút bụi],iot
Vietnamese,test,861,chuông báo của tôi,chuông báo của tôi,alarm
Vietnamese,test,862,các cài đặt báo thức,các cài đặt báo thức,alarm
Vietnamese,test,864,máy hút bụi phòng khách ngay bây giờ,máy hút bụi [house_place : phòng khách] ngay bây giờ,iot
Vietnamese,test,870,lưu ý kiến,lưu ý kiến,music
Vietnamese,test,884,cài báo thức lúc tám giờ sáng,cài báo thức lúc [time : tám giờ sáng],alarm
Vietnamese,test,891,phát một chút âm nhạc thiên chúa giáo,phát một chút âm nhạc [music_descriptor : thiên chúa giáo],play
Vietnamese,test,897,làm cho các đèn trong nhà thành màu hổ phách vào lúc sáu giờ chiều,làm cho các đèn trong [house_place : nhà] thành [color_type : màu hổ phách] vào lúc [time : sáu giờ chiều],iot
Vietnamese,test,914,làm ơn tắt các đèn,làm ơn tắt các đèn,iot
Vietnamese,test,920,vui lòng xóa báo thức của tôi,vui lòng xóa báo thức của tôi,alarm
Vietnamese,test,931,tôi thích bài hát này làm ơn lưu nó,tôi thích bài hát này làm ơn lưu nó,music
Vietnamese,test,936,mở và phát nhạc nhạc từ nhạc quốc tế,mở và phát nhạc nhạc từ [playlist_name : nhạc quốc tế],play
Vietnamese,test,939,đặt báo thức lúc bảy giờ sáng,đặt báo thức lúc [time : bảy giờ sáng],alarm
Vietnamese,test,940,bật báo thức buổi sáng của tôi lên,bật báo thức [timeofday : buổi sáng] của tôi lên,alarm
Vietnamese,test,944,chênh lệch thời gian giữa đây và nhật bản là mấy tiếng,chênh lệch thời gian giữa đây và [place_name : nhật bản] là mấy tiếng,datetime
Vietnamese,test,951,thời tiết ngay bây giờ như thế nào tại new york,thời tiết ngay bây giờ như thế nào tại [place_name : new york],weather
Vietnamese,test,962,tăng độ sáng của các đèn,tăng độ sáng của các đèn,iot
Vietnamese,test,964,tôi muốn đèn mờ đi,tôi muốn đèn mờ đi,iot
Vietnamese,test,967,tôi có thể mua mang đi ở pf changs hay không,tôi có thể mua [order_type : mang đi] ở [business_name : pf changs] hay không,takeaway
Vietnamese,test,969,các bài báo tin tức mới về một chủ đề cụ thể,các bài báo tin tức mới về một chủ đề cụ thể,news
Vietnamese,test,974,bây giờ là mấy giờ ở sài gòn,bây giờ là mấy giờ ở [place_name : sài gòn],datetime
Vietnamese,test,997,tắt đèn phòng khách,tắt đèn [house_place : phòng khách],iot
Vietnamese,test,999,bạn có thể tắt đèn không,bạn có thể tắt đèn không,iot
Vietnamese,test,1007,phát b. t. s. từ danh sách nhạc rock của tôi,phát [artist_name : b. t. s.] từ danh sách nhạc [music_genre : rock] của tôi,play
Vietnamese,test,1014,bây giờ là mấy giờ ở hà nội,bây giờ là mấy giờ ở [place_name : hà nội],datetime
Vietnamese,test,1030,làm mờ đèn phòng khách,làm mờ đèn [house_place : phòng khách],iot
Vietnamese,test,1042,vui lòng mở ứng dụng folder,vui lòng mở ứng dụng folder,takeaway
Vietnamese,test,1043,gọi nhà hàng thái gần nhất có giao hàng,gọi [business_type : nhà hàng] [food_type : thái] gần nhất có [order_type : giao hàng],takeaway
Vietnamese,test,1047,tôi cần phải khóc một trận thật đã bạn có thể phát những bài hát rock buồn cho tôi không,tôi cần phải khóc một trận thật đã bạn có thể phát những bài hát [music_genre : rock] [music_descriptor : buồn] cho tôi không,play
Vietnamese,test,1048,giảm âm lượng loa,giảm âm lượng loa,audio
Vietnamese,test,1059,bật robot hút bụi,bật [device_type : robot hút bụi],iot
Vietnamese,test,1061,cho tôi cập nhật về tin tức thể thao,cho tôi cập nhật về tin tức [news_topic : thể thao],news
Vietnamese,test,1063,cho tôi thông báo mỗi giờ về tin tức thể thao,cho tôi thông báo [general_frequency : mỗi giờ] về tin tức [news_topic : thể thao],news
Vietnamese,test,1065,cài đặt âm lượng ở đâu,cài đặt âm lượng ở đâu,audio
Vietnamese,test,1071,làm sáng các đèn ở hành lang,làm sáng các đèn ở [house_place : hành lang],iot
Vietnamese,test,1072,làm ơn tăng độ sáng màn hình nhiều lên,làm ơn tăng độ sáng [device_type : màn hình] [change_amount : nhiều lên],iot
Vietnamese,test,1076,không phát nhạc rock metal,không phát nhạc [music_genre : rock metal],music
Vietnamese,test,1084,người dùng thân thiện,người dùng thân thiện,news
Vietnamese,test,1090,bạn có thể tăng độ sáng trong phòng lên không,bạn có thể tăng độ sáng trong [house_place : phòng] lên không,iot
Vietnamese,test,1093,đi đến trang web báo washington,đi đến trang web [media_type : báo washington],news
Vietnamese,test,1098,ngày mười lăm tháng ba là thứ mấy,[date : ngày mười lăm tháng ba] là thứ mấy,datetime
Vietnamese,test,1108,mong muốn của tôi là nghe một vài bản nhạc đồng quê,mong muốn của tôi là nghe một vài bản nhạc [music_genre : đồng quê],play
Vietnamese,test,1115,phối hợp tất cả các thể loại bài hát pop,phối hợp tất cả các thể loại bài hát [music_genre : pop],play
Vietnamese,test,1120,có điều gì đặc biệt trong chính trị không,có điều gì đặc biệt trong [news_topic : chính trị] không,news
Vietnamese,test,1121,phát người hãy quên em đi bởi mỹ tâm,phát [song_name : người hãy quên em đi] bởi [artist_name : mỹ tâm],play
Vietnamese,test,1123,tiếp theo phát bài sorry của justin bieber,tiếp theo phát bài [song_name : sorry] của [artist_name : justin bieber],play
Vietnamese,test,1124,chuẩn bị người hãy quên em đi của mỹ tâm để phát tiếp theo,chuẩn bị [song_name : người hãy quên em đi] của [artist_name : mỹ tâm] để phát tiếp theo,play
Vietnamese,test,1127,phát toàn bộ bài hát trong chế độ xáo trộn,phát toàn bộ bài hát trong chế độ [player_setting : xáo trộn],play
Vietnamese,test,1144,tôi cần một chút rap,tôi cần một chút [music_genre : rap],play
Vietnamese,train,1,gọi tôi dậy lúc chín giờ sáng ngày thứ sáu,gọi tôi dậy lúc [time : chín giờ sáng] ngày [date : thứ sáu],alarm
Vietnamese,train,2,cài báo thức trong hai giờ kể từ bây giờ,cài báo thức trong [time : hai giờ kể từ bây giờ],alarm
Vietnamese,train,4,olly im lặng,olly im lặng,audio
Vietnamese,train,5,dừng,dừng,audio
Vietnamese,train,6,olly tạm dừng trong mười giây,olly tạm dừng trong [time : mười giây],audio
Vietnamese,train,7,tạm dừng trong mười giây,tạm dừng trong [time : mười giây],audio
Vietnamese,train,9,làm cho đèn ở đây ấm thêm một chút,làm cho đèn ở đây [color_type : ấm] thêm một chút,iot
Vietnamese,train,10,vui lòng điều chỉnh ánh sáng phù hợp cho việc đọc sách,vui lòng điều chỉnh ánh sáng [color_type : phù hợp cho việc đọc sách],iot
Vietnamese,train,12,đến giờ ngủ,đến giờ ngủ,iot
Vietnamese,train,13,thời gian để ngủ olly,thời gian để ngủ olly,iot
Vietnamese,train,15,tắt đèn trong nhà vệ sinh,tắt đèn trong [house_place : nhà vệ sinh],iot
Vietnamese,train,16,ly làm mờ đèn ở hội trường,ly làm mờ đèn ở [house_place : hội trường],iot
Vietnamese,train,18,tắt đèn phòng ngủ,tắt đèn [house_place : phòng ngủ],iot
Vietnamese,train,20,cài đặt các đèn tới hai mươi phần trăm,cài đặt các đèn [change_amount : tới hai mươi phần trăm],iot
Vietnamese,train,21,olly đặt đèn thành hai mươi phần trăm,olly đặt đèn [change_amount : thành hai mươi phần trăm],iot
Vietnamese,train,22,làm tối các đèn trong nhà bếp olly,làm tối các đèn trong [house_place : nhà bếp] olly,iot
Vietnamese,train,23,làm tối các đèn ở nhà bếp,làm tối các đèn ở [house_place : nhà bếp],iot
Vietnamese,train,25,olly dọn dẹp sàn nhà,olly dọn dẹp [house_place : sàn nhà],iot
Vietnamese,train,28,hút bụi ngôi nhà,hút bụi ngôi [house_place : nhà],iot
Vietnamese,train,29,hút bụi ngôi nhà olly,hút bụi ngôi [house_place : nhà] olly,iot
Vietnamese,train,32,hút bụi xung quanh các cái thảm,hút bụi xung quanh [house_place : các cái thảm],iot
Vietnamese,train,33,kiểm tra xem khi nào buổi trình diễn bắt đầu,kiểm tra xem khi nào buổi trình diễn bắt đầu,calendar
Vietnamese,train,34,tôi muốn nghe bài hát của hồ ngọc hà một lần nữa,tôi muốn nghe bài hát của [artist_name : hồ ngọc hà] một lần nữa,play
Vietnamese,train,35,tôi muốn phát bài hát đó một lần nữa,tôi muốn phát [media_type : bài hát] đó một lần nữa,play
Vietnamese,train,36,kiểm tra xe của tôi đã sẵn sàng chưa,kiểm tra xe của tôi đã sẵn sàng chưa,general
Vietnamese,train,37,kiểm tra xem laptop của tôi có hoạt động không,kiểm tra xem laptop của tôi có hoạt động không,general
Vietnamese,train,38,độ sáng màn hình của tôi đang ở mức thấp,độ sáng màn hình của tôi đang ở mức thấp,general
Vietnamese,train,39,tôi cần bật dịch vụ định vị bạn có thể kiểm tra không,tôi cần bật dịch vụ định vị bạn có thể kiểm tra không,general
Vietnamese,train,40,kiểm tra trạng thái của việc sử dụng năng lượng của tôi,kiểm tra trạng thái của việc sử dụng năng lượng của tôi,general
Vietnamese,train,43,tôi không mệt tôi thật sự rất vui,tôi không mệt tôi thật sự rất vui,general
Vietnamese,train,44,tôi không mệt tôi thực sự hạnh phúc,tôi không mệt tôi thực sự hạnh phúc,general
Vietnamese,train,45,xin chào,xin chào,general
Vietnamese,train,48,cho tôi biết thời gian ở mát-xcơ-va,cho tôi biết thời gian ở [place_name : mát-xcơ-va],datetime
Vietnamese,train,49,cho tôi biết thời gian ở g. m. t. cộng năm,cho tôi biết thời gian ở [time_zone : g. m. t. cộng năm],datetime
Vietnamese,train,51,olly danh sách những lựa chọn giao hàng được đánh giá cao nhất cho đồ ăn trung quốc,olly danh sách những lựa chọn [order_type : giao hàng] được đánh giá cao nhất cho đồ ăn [food_type : trung quốc],takeaway
Vietnamese,train,52,lựa chọn giao hàng được đáng giá cao nhất cho đồ ăn trung quốc,lựa chọn [order_type : giao hàng] được đáng giá cao nhất cho đồ ăn [food_type : trung quốc],takeaway
Vietnamese,train,54,olly lựa chọn giao hàng được đánh giá cao nhất cho đồ ăn trung quốc,olly lựa chọn [order_type : giao hàng] được đánh giá cao nhất cho đồ ăn [food_type : trung quốc],takeaway
Vietnamese,train,55,tôi muốn cơm tấm mang đi có bất kỳ gợi ý nào không,tôi muốn [food_type : cơm tấm] mang đi có bất kỳ gợi ý nào không,takeaway
Vietnamese,train,56,tôi muốn ăn cà ri có bất cứ gợi ý nào không olly,tôi muốn ăn [food_type : cà ri] có bất cứ gợi ý nào không olly,takeaway
Vietnamese,train,57,tìm các quán đồ thái cho mang về quanh nhà thờ lớn,tìm các quán đồ [food_type : thái] cho [order_type : mang về] quanh [place_name : nhà thờ lớn],takeaway
Vietnamese,train,60,dừng báo thức bảy giờ sáng,dừng báo thức [time : bảy giờ sáng],alarm
Vietnamese,train,62,vui lòng liệt kê các báo thức hoạt động,vui lòng liệt kê các báo thức hoạt động,alarm
Vietnamese,train,65,có gì xảy ra với bóng đá hôm nay,có gì xảy ra với [news_topic : bóng đá] [date : hôm nay],news
Vietnamese,train,66,làm ơn hãy mở người hãy quên em đi của mỹ tâm,làm ơn hãy mở [song_name : người hãy quên em đi] của [artist_name : mỹ tâm],play
